fold,validation_start,validation_end,candidate,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,risk_state_counts
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,493.29,-1.34,10.11,1.0645,41.18,6,18,7,19.0909,0.003971,34,46.80683813,43.97003545,2.83680268,1.0645167249257166,"{""adverse"": 81, ""neutral"": 127, ""supportive"": 10}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,161,106,59,47,0,28,4,0,15,0,460.32,-7.94,14.83,0.7413,32.2,14,27,10,31.2666,0.004195,59,68.89068766,92.93412509,-24.04343743,0.7412851586193685,"{""adverse"": 85, ""neutral"": 120, ""supportive"": 6}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,467.18,-6.56,9.81,0.1382,6.67,13,11,1,6.246,0.004667,15,4.76286981,34.45992294,-29.69705313,0.1382147551530809,"{""adverse"": 70, ""neutral"": 160, ""supportive"": 8}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,494.24,-1.15,7.53,0.9651,40.0,5,15,6,9.1834,0.0038,25,32.35719108,33.52636795,-1.16917687,0.9651266468089745,"{""adverse"": 100, ""neutral"": 223, ""supportive"": 15}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,SOFT_RISK_050_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,86,45,38,7,0,3,0,0,4,0,471.38,-5.72,12.15,0.6329,28.95,10,17,5,14.5244,0.003882,38,36.81613884,58.17281419,-21.35667534,0.6328753277359325,"{""adverse"": 79, ""neutral"": 100, ""supportive"": 6}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,121,15,15,0,0,0,0,0,0,0,487.12,-2.58,4.93,0.5746,33.33,7,12,4,3.714,0.005,15,14.89228953,25.91804504,-11.02575551,0.5745915445602956,"{""adverse"": 85, ""neutral"": 97, ""supportive"": 11}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,281,46,30,16,0,6,0,0,10,0,465.94,-6.81,11.77,0.498,30.0,8,17,4,12.1928,0.005,30,27.73546691,55.69874578,-27.96327887,0.49795496328034805,"{""adverse"": 144, ""neutral"": 193, ""supportive"": 15}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,163,59,43,16,0,10,1,0,5,0,438.83,-12.23,22.06,0.4665,20.93,17,19,6,24.5075,0.005,43,42.77328937,91.69082128,-48.91753191,0.466494778569493,"{""adverse"": 100, ""neutral"": 195, ""supportive"": 17}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,288,38,26,12,0,11,1,0,0,0,499.64,-0.07,10.35,1.1559,42.31,5,16,9,14.1491,0.005,26,49.80932271,43.09198175,6.71734097,1.1558837791785828,"{""adverse"": 131, ""neutral"": 211, ""supportive"": 12}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,191,71,39,32,0,31,1,0,0,0,443.13,-11.37,19.18,0.4671,25.64,6,19,6,28.2159,0.005,39,37.4889059,80.25229261,-42.76338671,0.46713813002268717,"{""adverse"": 116, ""neutral"": 160, ""supportive"": 16}"
