fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 70, ""insufficient_future_bars"": 3072, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57167, ""plan_created"": 211, ""range_too_narrow"": 21979, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_STRUCT_8H,soft,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20350, ""center_ban"": 141349, ""cooldown"": 70, ""insufficient_future_bars"": 1024, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57285, ""plan_created"": 211, ""range_too_narrow"": 22099, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_STRUCT_12H,soft,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20335, ""center_ban"": 140974, ""cooldown"": 70, ""insufficient_future_bars"": 1536, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57214, ""plan_created"": 211, ""range_too_narrow"": 22048, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_STRUCT_16H,soft,211,211,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20327, ""center_ban"": 140564, ""cooldown"": 70, ""insufficient_future_bars"": 2048, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57182, ""plan_created"": 211, ""range_too_narrow"": 21986, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,225,225,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20350, ""center_ban"": 141349, ""cooldown"": 71, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 57285, ""plan_created"": 225, ""range_too_narrow"": 22099, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,225,225,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20335, ""center_ban"": 140974, ""cooldown"": 71, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 57214, ""plan_created"": 225, ""range_too_narrow"": 22048, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,223,223,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20335, ""center_ban"": 140974, ""cooldown"": 70, ""insufficient_future_bars"": 1536, ""minimum_rr"": 3, ""no_lower_boundary_touch"": 57214, ""plan_created"": 223, ""range_too_narrow"": 22048, ""volume_filter"": 1015}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,220,220,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20327, ""center_ban"": 140564, ""cooldown"": 70, ""insufficient_future_bars"": 2048, ""minimum_rr"": 6, ""no_lower_boundary_touch"": 57182, ""plan_created"": 220, ""range_too_narrow"": 21986, ""volume_filter"": 1015}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,238,238,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 63, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 57075, ""plan_created"": 238, ""range_too_narrow"": 18312, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_STRUCT_8H,soft,238,238,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20385, ""center_ban"": 141978, ""cooldown"": 63, ""insufficient_future_bars"": 1024, ""invalid_range"": 2262, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 58086, ""plan_created"": 238, ""range_too_narrow"": 18355, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_STRUCT_12H,soft,238,238,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20314, ""center_ban"": 141832, ""cooldown"": 63, ""insufficient_future_bars"": 1536, ""invalid_range"": 2246, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 57808, ""plan_created"": 238, ""range_too_narrow"": 18354, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_STRUCT_16H,soft,238,238,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20262, ""center_ban"": 141541, ""cooldown"": 63, ""insufficient_future_bars"": 2048, ""invalid_range"": 2230, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 57691, ""plan_created"": 238, ""range_too_narrow"": 18318, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,269,269,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20385, ""center_ban"": 141978, ""cooldown"": 69, ""insufficient_future_bars"": 1024, ""invalid_range"": 2262, ""no_lower_boundary_touch"": 58086, ""plan_created"": 269, ""range_too_narrow"": 18355, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,269,269,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20314, ""center_ban"": 141832, ""cooldown"": 69, ""insufficient_future_bars"": 1536, ""invalid_range"": 2246, ""no_lower_boundary_touch"": 57808, ""plan_created"": 269, ""range_too_narrow"": 18354, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,255,255,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20314, ""center_ban"": 141832, ""cooldown"": 67, ""insufficient_future_bars"": 1536, ""invalid_range"": 2246, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57808, ""plan_created"": 255, ""range_too_narrow"": 18354, ""volume_filter"": 1340}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,247,247,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20262, ""center_ban"": 141541, ""cooldown"": 67, ""insufficient_future_bars"": 2048, ""invalid_range"": 2230, ""minimum_rr"": 24, ""no_lower_boundary_touch"": 57691, ""plan_created"": 247, ""range_too_narrow"": 18318, ""volume_filter"": 1340}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,338,338,"{""60m_trend_filter"": 534, ""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 91, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 54239, ""plan_created"": 338, ""range_too_narrow"": 29705, ""volume_filter"": 1731}"
