fold,validation_start,validation_end,candidate,learning,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,171,171,111,60,0,53,1,0,6,0,435.91,-12.82,23.94,0.8903,44.14,8,32,16,90.8015,0.005,111,151.75444171,170.44582072,-18.69137901,0.8903382967648813
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,204,204,95,109,0,85,2,0,21,1,405.19,-18.96,26.75,0.5995,33.68,15,28,11,61.3114,0.005,95,96.04237516,160.20049601,-64.15812084,0.5995135942517471
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,249,249,123,126,0,79,3,0,6,38,355.11,-28.98,34.1,0.4979,30.08,13,31,6,81.7536,0.005,123,103.15964793,207.17629667,-104.01664873,0.497931711259938
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_FIXED_RR17_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,101,101,70,31,0,20,0,0,9,2,427.68,-14.46,25.53,0.5875,31.43,9,27,11,39.5252,0.005,70,74.85978042,127.41235551,-52.55257509,0.5875394118888939
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2679,2679,234,2445,0,494,2,0,839,1110,262.35,-47.53,51.78,0.4928,23.93,22,32,7,108.1663,0.005,234,178.38100288,361.95262762,-183.57162474,0.49282969446654656
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2502,2502,337,2165,0,939,1,0,700,525,273.01,-45.4,54.02,0.7429,32.34,21,32,9,198.1363,0.005,337,369.58656266,497.50772949,-127.92116682,0.7428760213328562
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2733,2733,272,2461,0,705,2,0,626,1128,226.9,-54.62,58.15,0.5463,25.74,16,32,6,161.0853,0.005,272,231.82789039,424.38406812,-192.55617773,0.5462690704089479
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2138,2138,257,1881,0,772,0,0,459,650,300.23,-39.95,46.32,0.6954,29.96,17,32,9,148.4308,0.005,257,286.58464373,412.14088059,-125.55623686,0.695356023204296
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2527,2527,294,2233,0,936,3,0,808,486,228.66,-54.27,59.58,0.6338,29.25,28,32,10,209.0792,0.005,294,288.70084697,455.50108496,-166.80023799,0.6338093508480993
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2424,2424,224,2200,0,779,2,0,520,899,241.65,-51.67,55.33,0.4396,22.32,16,32,7,116.3554,0.005,224,157.02867466,357.20552771,-200.17685305,0.4396031485555168
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2315,2315,285,2030,0,760,4,0,400,866,229.77,-54.05,59.98,0.5482,28.07,21,32,3,170.7376,0.005,285,224.33444927,409.1927513,-184.85830203,0.5482366160089837
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2809,2809,277,2532,0,904,2,0,712,914,255.03,-48.99,54.95,0.6155,29.24,20,32,10,168.9741,0.005,277,256.9077181,417.39013995,-160.48242185,0.6155097917034117
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2122,2122,340,1782,0,822,1,0,637,322,264.57,-47.09,55.24,0.7378,34.41,16,31,10,222.6226,0.005,340,349.21447823,473.33544728,-124.12096905,0.7377737717316105
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_RANGE_ONLY_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,2673,2673,218,2455,0,710,1,0,415,1329,264.63,-47.07,51.76,0.5232,23.85,14,31,7,122.1992,0.005,218,191.23814714,365.50807136,-174.26992421,0.5232118306820731
